n=2,n=4,n=8,n=16,n=32,n=64
-1.7224190533,-1.7224289003,-1.7224289003,-1.7224289003,-1.7224289003,-1.7224289003
1.1951336866,1.1952201342,1.1952201342,1.1952201342,1.1952201342,1.1952201342
-1.0754824237,-1.0768185909,-1.0768185909,-1.0768185909,-1.0768185909,-1.0768185909
1.7445893981,1.7449320188,1.7449320188,1.7449320188,1.7449320188,1.7449320188
0.0865716483,0.0865203168,0.0865203168,0.0865203168,0.0865203168,0.0865203168
-0.0274633374,-0.0274633572,-0.0274633572,-0.0274633572,-0.0274633572,-0.0274633572
1.4928809391,1.693748384,1.6937660588,1.6937660588,1.6937660588,1.6937660588
NA,0.4629075223,0.4669314724,0.4669314724,0.4669314724,0.4669314724
0.0572653724,0.0572652108,0.0572652108,0.0572652108,0.0572652108,0.0572652108
-5.6196602085,-5.0854741837,-5.0854741222,-5.0854741222,-5.0854741222,-5.0854741222
